DATE,PS_LEVEL,PS_INNOV,PS_VWF
19860829,-0.02727706,0.01347571,-0.02204191
19860930,-0.00465437,-0.02390739,0.04716988
19861031,0.03935061,0.06259826,0.01473984
19861128,0.01649946,0.02249593,-0.0304306
19861231,0.01102618,0.03233278,-0.01033401
19870130,-0.02906564,-0.00909871,-0.0736965
19870227,0.00544025,0.02569251,-0.04031035
19870331,-0.02364455,0.01736875,-0.0148849
19870430,-0.12649836,-0.10874873,-0.03904549
19870529,0.0052655,0.0313489,0.01129104
19870630,0.00747036,0.05835855,0.02579045
19870731,0.01872214,-0.02499269,0.00611706
19870831,-0.00015518,0.01173699,-0.05771872
19870930,-0.04195289,-0.05490003,0.00276835
19871030,-0.46143022,-0.39236669,0.05362571
19871130,-0.02511653,-0.07054303,-0.01633546
19871231,-0.10545586,-0.02464862,0.00727891
19880129,-0.11095032,-0.07525404,0.04229286
19880229,-0.03342877,0.06354971,0.00355999
19880331,-0.03042057,0.02856048,-0.02003926
19880429,0.00875387,0.0297088,-0.02519811
19880531,-0.06857078,-0.00091255,-0.00518301
19880630,0.00674816,0.02011836,-0.00896948
19880729,0.01685931,0.0331066,-0.00873953
19880831,-0.02477803,0.02711585,0.03534896
19880930,-0.02332725,0.00182055,0.01519396
19881031,-0.04266262,0.00375763,0.02451878
19881130,-0.06690996,-0.008434,-0.00201038
19881230,-0.02435421,0.00330919,-0.04397242
19890131,0.01821545,0.07524767,-0.00184144
19890228,-0.00257917,0.01368712,-0.00413294
19890331,0.0002363,0.00683339,-0.00856955
19890428,-0.02155465,-0.00308717,-0.01899545
19890531,0.04316963,0.0484208,-0.03855914
19890630,-0.00159906,0.00121741,0.07276334
19890731,0.01780266,0.02476395,0.03133175
19890831,-0.08469954,-0.05321749,0.00576356
19890929,0.02803304,0.01623048,-0.04723144
19891031,-0.15740087,-0.11241064,0.02769994
19891130,-0.0095812,0.01664352,-0.02391092
19891229,-0.02159079,0.00999037,0.01976455
19900131,-0.02319098,-0.00493634,-0.03305413
19900228,-0.00455879,0.02636373,-0.02926774
19900330,-0.02216372,0.03570691,-0.02717463
19900430,0.01049139,0.01053861,0.0586874
19900531,0.0113487,0.01001721,-0.00725714
19900629,0.00240171,-0.0029448,0.02588171
19900731,-0.0254841,-0.01522764,0.05157648
19900831,0.02497992,0.00341516,0.04423621
19900928,-0.01568347,0.05751798,0.01996423
19901031,0.05201193,0.0498498,-0.01238644
19901130,0.02180158,0.00768203,-0.01249727
19901231,-0.05574343,-0.0302689,-0.03382609
19910131,0.03896199,0.02294077,-0.09368777
19910228,-0.02117577,-0.0376121,-0.02036569
19910328,-0.0261188,-0.02570656,-0.00504698
19910430,0.00646514,0.04434552,0.01733852
19910531,-0.00605746,0.00098313,-0.00883988
19910628,0.04171325,0.04956939,0.02890272
19910731,-0.00134881,0.00355896,0.01752819
19910830,-0.01697014,-0.02112946,-0.01800622
19910930,-0.01443778,0.01649021,0.01091772
19911031,-0.02167411,0.02084559,0.02057336
19911129,0.02613736,-0.00210568,0.0438126
19911231,-0.05323512,-0.07346443,-0.05182236
19920131,-0.06143215,-0.03815877,-0.06972179
19920228,-0.0392557,0.01098214,-0.05120744
19920331,-0.03850107,0.01830857,-0.00365264
19920430,0.03362592,0.04659509,-0.00426672
19920529,0.00129319,0.05102724,0.00281423
19920630,0.06758996,0.0087491,0.02257992
19920731,-0.03713605,-0.05221418,0.02349546
19920831,-0.00577717,0.00368445,0.05046339
19920930,0.01257838,0.03346765,-0.02328183
19921030,-0.05945285,-0.05456473,-0.02123562
19921130,0.00066856,0.03195011,-0.05895888
19921231,0.00965986,0.02468789,-0.02899647
19930129,0.00478333,0.03503732,-0.00259744
19930226,-0.02510693,-0.00172044,0.06807118
19930331,-0.03732509,-0.00967696,-0.04093026
19930430,0.00301181,0.0321175,-0.01767445
19930528,-0.01454372,0.01459268,0.04340178
19930630,-0.01843859,0.01044066,-0.03186687
19930730,-0.02059807,0.00654542,-0.01326332
19930831,0.04139443,0.02422333,0.01619256
19930930,0.02479853,0.03677658,-0.07594721
19931029,0.00074332,0.01377953,0.04797756
19931130,0.00754075,0.02137511,0.05114936
19931231,0.04937983,0.0311016,0.01274447
19940131,0.03872394,0.06872436,-0.00316375
19940228,-0.05102415,-0.03911563,0.0102053
19940331,-0.01682614,-0.01007481,0.02753268
19940429,-0.07566088,-0.05145188,0.00619743
19940531,-0.03897327,-0.00126961,0.03351924
19940630,-0.07875602,-0.03386528,0.00102514
19940729,0.01172641,0.06315062,-0.01056712
19940831,-0.01746611,0.03662239,0.00486733
19940930,0.02056801,0.01623746,0.03225235
19941031,0.02946239,0.03206875,0.01186605
19941130,-0.01552649,-0.04658771,-0.02023743
19941230,-0.03323467,-0.01335371,0.01690576
19950131,0.02207987,0.06221033,-0.03287019
19950228,0.02342939,0.02493919,-0.00718697
19950331,0.00997871,-0.01300397,0.01717265
19950428,0.03154873,0.04995557,0.00900008
19950531,-0.00229179,0.00382012,-0.00651516
19950630,-0.02610713,-0.03350048,0.00699504
19950731,-0.0069982,0.01196759,0.04972167
19950831,-0.00312187,0.01923372,-0.01048936
19950929,-0.02976615,-0.02587246,-0.07444929
19951031,-0.00930418,0.00501292,0.03514123
19951130,0.03076915,0.05804025,-0.01973823
19951229,-0.06593775,-0.02988515,-0.03386333
19960131,-0.0159248,-0.0086639,0.06843973
19960229,0.0242245,0.07526656,0.04193781
19960329,-0.05219408,-0.04466795,-0.04654464
19960430,-0.02548453,0.01719696,-0.04333573
19960531,0.01177107,0.02448716,-0.02564436
19960628,-0.00953222,-0.00963034,-0.05471794
19960731,-0.03310392,-0.01036443,0.00380579
19960830,0.06344509,0.09017837,0.00629933
19960930,-0.00118043,-0.01748279,-0.0182823
19961031,-0.01307404,-0.03763025,-0.00562728
19961129,-0.00753794,-0.01264129,0.07291964
19961231,0.01327599,0.02473364,-0.0318979
19970131,-0.0169496,0.05114089,-0.03141478
19970228,0.00269968,-0.01435878,-0.03932384
19970331,-0.00768426,0.01576285,0.02138242
19970430,0.01696851,0.018246,0.05902431
19970530,0.02749439,0.04276866,0.01536884
19970630,-0.01007142,-0.00677021,0.00962123
19970731,-0.00798009,0.00104833,0.02599752
19970829,-0.05689298,-0.01109035,-0.00783015
19970930,-0.02838423,0.03345383,-0.01551611
19971031,-0.17153537,-0.10940323,-0.00139516
19971128,0.02224616,0.07182878,0.05435908
19971231,-0.02201884,0.03270359,0.00400618
19980130,-0.04352756,-0.0712688,0.00741842
19980227,-0.1204081,-0.00128309,0.05848336
19980331,-0.05874171,-0.00597294,-0.0243133
19980430,0.0401266,0.09556769,-0.01149626
19980529,0.00684112,0.01378253,-0.01105658
19980630,-0.0539423,-0.03166687,0.01674068
19980731,-0.05160919,0.0008543,0.00349193
19980831,-0.05080818,0.01282361,-0.02955903
19980930,-0.27515771,-0.25659615,0.01533438
19981030,-0.04263668,0.0606338,0.01448131
19981130,0.04822847,0.12085433,0.00812597
19981231,-0.14738865,-0.10684083,-0.00535786
19990129,0.06408701,0.06667325,0.03893948
19990226,-0.08640364,-0.06172854,0.02765595
19990331,-0.06060013,-0.00601282,-0.00663989
19990430,0.19785399,0.27970309,0.09828039
19990528,-0.13421841,-0.13864817,-0.00927996
19990630,0.05775323,0.05930683,0.03237674
19990730,0.06769164,0.05733906,-0.01629155
19990831,0.0516067,-0.01582383,-0.00026284
19990930,-0.04794027,-0.07696556,-0.0358857
19991029,0.09836475,0.0824717,0.09504198
19991130,-0.00089915,-0.03872813,-0.01701714
19991231,-0.07469592,-0.08549371,0.03877057
20000131,-0.06795454,-0.04506225,0.01310702
20000229,-0.04164722,-0.01157702,0.01093496
20000331,-0.00634113,0.11098034,-0.00011558
20000428,-0.22431634,-0.21594498,-0.04564173
20000531,0.06532549,0.08208137,-0.02773574
20000630,-0.18198733,-0.15447302,-0.03489118
20000731,0.05848808,-0.06010737,0.11185346
20000831,-0.07033955,0.01930489,-0.00781309
20000929,-0.1704145,-0.15702871,-0.04144904
20001031,-0.13571372,-0.00118992,0.02261953
20001130,-0.14291735,-0.12391781,-0.04065856
20001229,0.09464411,0.06674871,0.00735287
20010131,-0.12274065,-0.03162743,0.06841372
20010228,-0.05094484,-0.0677404,0.04369501
20010330,-0.05366146,0.02700364,0.07324668
20010430,-0.07031534,0.09780882,0.0040903
20010531,0.09949984,0.11718158,0.02718346
20010629,0.01813767,0.08823302,0.00742982
20010731,-0.05762432,-0.01178023,0.03790044
20010831,-0.05913506,0.05417058,0.04868368
20010928,-0.04151301,-0.12017864,-0.09710875
20011031,0.06749547,0.09830989,0.03425514
20011130,0.02174665,-0.005719,0.03436593
20011231,0.01212172,0.05033646,0.06779546
20020131,-0.06644489,-0.01092694,-0.01354216
20020228,-0.01286589,-0.01147437,0.02341257
20020328,0.06245492,0.02869418,0.09102453
20020430,-0.10765003,-0.0312891,0.05407736
20020531,-0.03307439,-0.04411445,0.05156694
20020628,-0.11746414,-0.05923759,-0.01052136
20020731,-0.06584429,0.00385175,-0.05980467
20020830,-0.02520568,-0.00286732,-0.00138148
20020930,-0.1679705,-0.08901015,-0.01639879
20021031,-0.30822376,-0.14824805,0.03871651
20021129,-0.03838085,0.01859024,0.03093513
20021231,-0.17762786,-0.00556326,-0.01246317
20030131,-0.08468762,-0.0836717,-0.02177945
20030228,-0.03941407,-0.03615012,0.007144
20030331,-0.10763959,-0.06819956,0.00248224
